EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,MANAGER_ID,DEPARTMENT_ID
300,Steven,King,SKING,515.123.4567,9/1/2009,AD_PRES,24000,,90
301,Neena,Kochhar,NKOCHHAR,515.123.4568,12/7/2011,AD_VP,17000,100,90
302,Lex,De Haan,LDEHAAN,515.123.4569,3/31/2015,AD_VP,17000,100,90
303,Alexander,Hunold,AHUNOLD,590.423.4567,3/20/2012,IT_PROG,9000,102,60
304,Bruce,Ernst,BERNST,590.423.4568,8/5/2013,IT_PROG,6000,103,100
305,David,Austin,DAUSTIN,590.423.4569,9/10/2019,IT_PROG,4800,103,100
306,Valli,Pataballa,VPATABAL,590.423.4560,4/22/2020,IT_PROG,4800,103,100
307,Diana,Lorentz,DLORENTZ,590.423.5567,4/24/2021,IT_PROG,4200,103,60
308,Nancy,Greenberg,NGREENBE,515.124.4569,11/1/2016,FI_MGR,12000,101,100
309,Daniel,Faviet,DFAVIET,515.124.4169,10/31/2016,FI_ACCOUNT,9000,108,100
310,John,Chen,JCHEN,515.124.4269,12/14/2019,FI_ACCOUNT,8200,108,100
311,Ismael,Sciarra,ISCIARRA,515.124.4369,12/16/2019,FI_ACCOUNT,7700,108,100
312,Jose Manuel,Urman,JMURMAN,515.124.4469,5/22/2020,FI_ACCOUNT,7800,108,100
313,Luis,Popp,LPOPP,515.124.4567,2/21/2022,FI_ACCOUNT,6900,108,100
314,Den,Raphaely,DRAPHEAL,515.127.4561,2/21/2017,PU_MAN,11000,100,30
315,Alexander,Khoo,AKHOO,515.127.4562,8/2/2017,PU_CLERK,3100,114,50
316,Shelli,Baida,SBAIDA,515.127.4563,3/10/2020,PU_CLERK,2900,114,50
317,Sigal,Tobias,STOBIAS,515.127.4564,10/9/2019,PU_CLERK,2800,114,50
318,Guy,Himuro,GHIMURO,515.127.4565,1/30/2021,PU_CLERK,2600,114,50
319,Karen,Colmenares,KCOLMENA,515.127.4566,10/25/2021,PU_CLERK,2500,114,50
320,Matthew,Weiss,MWEISS,650.123.1234,10/3/2018,ST_MAN,8000,100,50
321,Adam,Fripp,AFRIPP,650.123.2234,6/26/2019,ST_MAN,8200,100,50
322,Payam,Kaufling,PKAUFLIN,650.123.3234,7/16/2017,ST_MAN,7900,100,50
323,Shanta,Vollman,SVOLLMAN,650.123.4234,12/26/2019,ST_MAN,6500,100,50
324,Kevin,Mourgos,KMOURGOS,650.123.5234,1/31/2022,ST_MAN,5800,100,50
325,Julia,Nayer,JNAYER,650.124.1214,10/1/2019,ST_CLERK,3200,120,100
326,Irene,Mikkilineni,IMIKKILI,650.124.1224,12/13/2020,ST_CLERK,2700,120,100
327,James,Landry,JLANDRY,650.124.1334,3/31/2021,ST_CLERK,2400,120,100
328,Steven,Markle,SMARKLE,650.124.1434,5/24/2022,ST_CLERK,2200,120,50
329,Laura,Bissot,LBISSOT,650.124.5234,11/5/2019,ST_CLERK,3300,121,50
330,Mozhe,Atkinson,MATKINSO,650.124.6234,1/15/2020,ST_CLERK,2800,121,50
331,James,Marlow,JAMRLOW,650.124.7234,5/4/2019,ST_CLERK,2500,121,50
332,TJ,Olson,TJOLSON,650.124.8234,6/25/2021,ST_CLERK,2100,121,50
333,Jason,Mallin,JMALLIN,650.127.1934,8/30/2018,ST_CLERK,3300,122,50
334,Michael,Rogers,MROGERS,650.127.1834,11/10/2020,ST_CLERK,2900,122,50
335,Ki,Gee,KGEE,650.127.1734,2/26/2022,ST_CLERK,2400,122,50
336,Hazel,Philtanker,HPHILTAN,650.127.1634,4/23/2022,ST_CLERK,2200,122,50
337,Renske,Ladwig,RLADWIG,650.121.1234,9/28/2017,ST_CLERK,3600,123,50
338,Stephen,Stiles,SSTILES,650.121.2034,1/11/2020,ST_CLERK,3200,123,30
339,John,Seo,JSEO,650.121.2019,4/29/2020,ST_CLERK,2700,123,30
340,Joshua,Patel,JPATEL,650.121.1834,6/21/2020,ST_CLERK,2500,123,30
341,Trenna,Rajs,TRAJS,650.121.8009,1/1/2018,ST_CLERK,3500,124,30
342,Curtis,Davies,CDAVIES,650.121.2994,4/16/2019,ST_CLERK,3100,124,30
343,Randall,Matos,RMATOS,650.121.2874,5/30/2020,ST_CLERK,2600,124,30
344,Peter,Vargas,PVARGAS,650.121.2004,9/23/2020,ST_CLERK,2500,124,30
345,John,Russell,JRUSSEL,011.44.1344.429268,12/17/2018,SA_MAN,14000,100,30
346,Karen,Partners,KPARTNER,011.44.1344.467268,3/23/2019,SA_MAN,13500,100,30
347,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,5/26/2019,SA_MAN,12000,100,30
348,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,12/30/2021,SA_MAN,11000,100,30
349,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,4/15/2022,SA_MAN,10500,100,30
350,Peter,Tucker,PTUCKER,011.44.1344.129268,4/17/2019,SA_REP,10000,145,30
351,David,Bernstein,DBERNSTE,011.44.1344.345268,6/9/2019,SA_REP,9500,145,30
352,Peter,Hall,PHALL,011.44.1344.478968,11/5/2019,SA_REP,9000,145,30
353,Christopher,Olsen,COLSEN,011.44.1344.498718,6/14/2020,SA_REP,8000,145,30
354,Nanette,Cambrault,NCAMBRAU,011.44.1344.987668,2/23/2021,SA_REP,7500,145,30
355,Oliver,Tuvault,OTUVAULT,011.44.1344.486508,2/7/2022,SA_REP,7000,145,30
356,Janette,King,JKING,011.44.1345.429268,4/16/2018,SA_REP,10000,146,30
357,Patrick,Sully,PSULLY,011.44.1345.929268,5/20/2018,SA_REP,9500,146,30
358,Allan,McEwen,AMCEWEN,011.44.1345.829268,10/17/2018,SA_REP,9000,146,80
359,Lindsey,Smith,LSMITH,011.44.1345.729268,5/26/2019,SA_REP,8000,146,80
